modelo,config,f1,tiempo_s,n_estimators,max_depth,eta,batch_size,lr
Random Forest,"{'n_estimators': 100, 'max_depth': 8}",0.6231454005934718,0.6430327300040517,100.0,8.0,,,
Random Forest,"{'n_estimators': 100, 'max_depth': 16}",0.7699789985630596,0.8404168569977628,100.0,16.0,,,
Random Forest,"{'n_estimators': 300, 'max_depth': 16}",0.7703884032311608,2.5296234419947723,300.0,16.0,,,
Random Forest,"{'n_estimators': 300, 'max_depth': 24}",0.769690927218345,3.869025538995629,300.0,24.0,,,
XGBoost,"{'max_depth': 4, 'eta': 0.3}",0.7951076135393951,0.43525888699514326,,4.0,0.3,,
XGBoost,"{'max_depth': 8, 'eta': 0.1}",0.7999614940315749,0.5875730529951397,,8.0,0.1,,
XGBoost,"{'max_depth': 8, 'eta': 0.3}",0.80092453019797,0.6238315869995859,,8.0,0.3,,
XGBoost,"{'max_depth': 12, 'eta': 0.1}",0.8032458425165298,1.7888672099943506,,12.0,0.1,,
Red Neuronal,"{'batch_size': 2048, 'lr': 0.001}",0.7415349887133182,0.7317384740017587,,,,2048.0,0.001
Red Neuronal,"{'batch_size': 8192, 'lr': 0.001}",0.6705435556610492,0.1812365540099563,,,,8192.0,0.001
Red Neuronal,"{'batch_size': 8192, 'lr': 0.0005}",0.08490361706735976,0.17848004899860825,,,,8192.0,0.0005
Red Neuronal,"{'batch_size': 32768, 'lr': 0.001}",0.0,0.07526557099481579,,,,32768.0,0.001
