delta_t,brightness,bright_t31,frp,scan,track,mes,hora,es_noche,latitude,longitude,es_falsa_alarma
32.96999999999997,335.77,302.8,5.37,0.43,0.38,6,11,0,-10.04784,23.99958,0
16.25,306.91,290.66,1.11,0.39,0.36,6,9,1,30.93295,-109.93447,0
31.370000000000005,339.6,308.23,51.59,0.48,0.4,6,12,0,-8.37606,16.65081,0
40.150000000000034,338.49,298.34,5.2,0.41,0.61,6,11,0,-6.96481,22.19907,0
42.910000000000025,338.91,296.0,10.61,0.56,0.68,6,12,0,-11.46752,25.80753,0
35.370000000000005,347.62,312.25,10.19,0.42,0.37,6,12,0,-10.51062,15.69308,0
10.620000000000005,300.91,290.29,1.05,0.39,0.36,6,9,1,30.88712,-109.88577,0
40.44,327.16,286.72,2.38,0.38,0.59,6,11,0,-4.54652,15.90286,0
29.980000000000018,328.98,299.0,6.96,0.7,0.75,6,11,0,-22.04583,43.70075,1
58.150000000000034,334.6,276.45,9.84,0.37,0.58,6,13,0,-3.45494,14.97861,0
37.05000000000001,340.57,303.52,6.94,0.32,0.55,6,12,0,-14.71061,23.23672,0
15.009999999999991,307.0,291.99,2.06,0.47,0.48,6,0,1,-9.53082,25.76342,0
47.06999999999999,348.09,301.02,5.42,0.33,0.55,6,11,0,-7.95256,17.46204,0
48.89999999999998,344.13,295.23,17.89,0.52,0.5,6,10,0,-3.01696,30.48054,0
30.939999999999998,335.0,304.06,2.91,0.38,0.36,6,4,0,-16.01942,135.4005,0
40.31,342.75,302.44,128.51,0.48,0.4,6,19,0,55.99252,-100.91257,0
42.639999999999986,346.81,304.17,5.09,0.43,0.38,6,12,0,-7.34694,15.33985,0
31.649999999999977,333.34,301.69,2.25,0.36,0.57,6,11,0,-7.38809,23.11988,0
52.78000000000003,356.55,303.77,6.05,0.48,0.65,6,11,0,-8.81443,21.56895,0
40.31999999999999,344.04,303.72,12.4,0.36,0.57,6,12,0,-12.3893,23.27552,0
44.99000000000001,341.79,296.8,4.45,0.41,0.45,6,9,1,59.67667,-121.82758,0
30.069999999999993,333.55,303.48,6.59,0.32,0.55,6,10,0,27.71608,52.18182,0
47.06,356.43,309.37,38.97,0.42,0.38,6,11,0,-8.67211,28.3075,0
32.74000000000001,329.44,296.7,2.5,0.65,0.73,6,13,0,-16.99287,22.59455,0
48.25999999999999,351.5,303.24,14.04,0.44,0.62,6,11,0,-12.06764,16.54016,0
47.549999999999955,346.03,298.48,9.44,0.51,0.66,6,10,0,-6.27237,27.02179,0
17.620000000000005,300.15,282.53,1.94,0.57,0.69,6,8,1,59.8161,-121.87585,0
14.039999999999964,301.2,287.16,0.47,0.41,0.37,6,16,1,-15.63998,135.07509,0
45.45999999999998,367.0,321.54,17.18,0.38,0.36,6,10,0,37.09752,40.25017,0
10.229999999999961,297.46,287.23,0.78,0.46,0.63,6,22,1,-9.37591,26.40269,0
43.68000000000001,348.31,304.63,11.72,0.44,0.46,6,12,0,-12.16931,20.02785,0
19.090000000000032,312.6,293.51,1.73,0.45,0.63,6,22,1,-8.57506,26.79343,0
37.379999999999995,339.49,302.11,6.57,0.53,0.67,6,12,0,-10.86806,25.30425,0
51.59000000000003,348.54,296.95,13.81,0.5,0.66,6,12,0,-14.96742,26.18524,0
41.88000000000005,337.47,295.59,5.7,0.45,0.63,6,13,0,-7.92856,17.41787,0
47.420000000000016,344.69,297.27,7.32,0.37,0.58,6,16,0,-12.44607,-58.48011,0
35.420000000000016,340.48,305.06,8.93,0.52,0.5,6,10,0,-18.14156,46.4589,0
39.879999999999995,352.35,312.47,37.46,0.58,0.52,6,11,0,-8.85314,24.78343,0
49.44,346.52,297.08,25.93,0.54,0.51,6,11,0,-7.54136,18.61074,0
53.27000000000004,347.47,294.2,6.8,0.39,0.36,6,10,1,59.28438,-122.01961,0
37.539999999999964,339.52,301.98,3.19,0.32,0.55,6,11,0,-9.09417,17.84652,0
44.410000000000025,343.62,299.21,3.8,0.33,0.55,6,12,0,-6.93377,21.32916,0
36.54000000000002,331.79,295.25,2.13,0.4,0.37,6,19,0,38.03744,-98.00233,0
33.110000000000014,336.31,303.2,4.94,0.5,0.41,6,4,0,-12.83888,130.96649,0
34.05000000000001,342.31,308.26,2.05,0.4,0.37,6,8,0,9.21957,77.89916,0
40.60000000000002,346.98,306.38,5.5,0.4,0.37,6,11,0,-6.8439,27.16877,0
34.22999999999996,332.53,298.3,7.78,0.79,0.78,6,23,1,29.32689,49.49584,0
49.099999999999966,346.45,297.35,99.73,0.38,0.36,6,11,0,-4.48972,24.90454,0
32.06,330.48,298.42,2.7,0.49,0.65,6,12,0,-10.53273,24.68118,0
31.879999999999995,333.07,301.19,3.63,0.45,0.39,6,11,0,-6.83238,22.75544,0
37.45999999999998,334.31,296.85,22.3,0.59,0.7,6,13,0,-9.07096,19.53889,0
34.59000000000003,335.04,300.45,10.65,0.68,0.74,6,12,0,-8.2848,26.21726,0
66.13,367.0,300.87,17.89,0.45,0.63,6,10,0,-5.79598,27.64887,0
39.85000000000002,332.04,292.19,4.97,0.41,0.37,6,10,1,59.51665,-120.86334,0
35.80000000000001,335.8,300.0,6.37,0.39,0.59,6,12,0,-10.55741,23.30248,0
46.870000000000005,343.87,297.0,10.68,0.61,0.71,6,11,0,-11.40752,20.47239,0
36.06,332.46,296.4,4.45,0.49,0.65,6,11,0,47.09789,33.65283,0
33.920000000000016,331.0,297.08,7.94,0.52,0.5,6,11,0,-7.0993,18.73306,0
46.35000000000002,331.61,285.26,39.66,0.4,0.44,6,19,0,57.76525,-98.57777,0
43.19999999999999,342.88,299.68,11.47,0.45,0.47,6,10,0,-6.08384,32.1616,0
27.389999999999986,329.09,301.7,4.32,0.44,0.63,6,12,0,-9.6135,23.87027,1
27.109999999999957,334.53,307.42,2.9,0.39,0.36,6,11,0,-6.70277,26.63257,1
28.939999999999998,310.56,281.62,2.76,0.56,0.52,6,0,1,-9.01136,26.99231,0
65.69999999999999,367.0,301.3,15.06,0.33,0.56,6,13,0,-6.14356,15.06862,0
32.22000000000003,338.55,306.33,5.31,0.33,0.55,6,12,0,-8.01879,21.61007,0
32.96999999999997,340.95,307.98,16.78,0.4,0.37,6,11,0,-6.42608,26.90617,0
65.07,367.0,301.93,5.99,0.36,0.57,6,11,0,-9.14029,23.46688,0
43.26999999999998,353.62,310.35,129.74,0.52,0.5,6,11,0,36.30349,36.1474,0
52.80000000000001,353.24,300.44,11.98,0.42,0.61,6,12,0,-8.64905,23.21799,0
16.319999999999993,302.49,286.17,4.15,0.76,0.77,6,22,1,-16.12146,33.75974,0
29.74000000000001,332.05,302.31,24.57,0.55,0.43,6,12,0,-8.1637,17.69486,1
16.639999999999986,312.38,295.74,3.91,0.44,0.46,6,21,1,25.88253,51.53674,0
44.620000000000005,346.79,302.17,21.5,0.58,0.69,6,11,0,-11.50071,14.66669,0
45.589999999999975,344.13,298.54,7.06,0.54,0.42,6,18,0,20.82411,-77.53471,0
32.81999999999999,337.86,305.04,4.63,0.39,0.36,6,11,0,-6.06106,24.76452,0
29.260000000000048,341.91,312.65,5.63,0.4,0.37,6,8,0,40.89932,72.27441,0
38.910000000000025,339.18,300.27,3.92,0.42,0.61,6,11,0,-17.67881,45.20066,0
31.75,336.0,304.25,2.87,0.41,0.37,6,12,0,-14.58828,16.63036,0
16.519999999999982,297.9,281.38,0.9,0.68,0.74,6,8,1,59.67715,-124.0815,0
17.120000000000005,305.18,288.06,0.61,0.39,0.36,6,16,1,-15.89674,135.86554,0
29.379999999999995,312.7,283.32,5.97,0.42,0.38,6,10,1,59.73366,-121.76484,0
18.099999999999966,308.78,290.68,3.34,0.44,0.63,6,15,1,35.0294,136.88458,0
32.5,333.81,301.31,11.98,0.65,0.73,6,10,0,-8.04373,25.90254,0
35.81,339.3,303.49,4.36,0.39,0.36,6,18,0,34.626,-78.9775,0
33.56,331.19,297.63,2.8,0.39,0.59,6,4,0,-13.53337,131.66489,0
51.0,351.98,300.98,37.97,0.63,0.72,6,10,0,-6.58897,25.74487,0
46.099999999999966,340.89,294.79,5.56,0.33,0.55,6,4,0,-11.20317,132.2933,0
32.10999999999996,328.09,295.98,1.33,0.4,0.37,6,0,1,29.03788,20.78629,0
47.629999999999995,349.93,302.3,8.49,0.63,0.54,6,10,0,-17.12558,44.97984,0
28.909999999999968,329.83,300.92,3.91,0.32,0.55,6,11,0,-8.01472,17.56649,0
52.93000000000001,354.77,301.84,12.82,0.42,0.45,6,12,0,-7.19171,18.45271,0
55.99000000000001,350.6,294.61,26.38,0.63,0.72,6,11,0,-8.05828,19.70218,0
34.25,341.98,307.73,7.33,0.52,0.5,6,12,0,-12.86683,21.30877,0
40.78000000000003,342.24,301.46,5.7,0.4,0.44,6,11,0,-6.35969,26.77122,0
31.53000000000003,330.79,299.26,2.73,0.38,0.36,6,11,0,-6.08555,32.16201,0
33.14000000000004,327.48,294.34,2.69,0.5,0.66,6,13,0,-5.12414,17.41167,0
44.98000000000002,343.43,298.45,7.79,0.42,0.61,6,12,0,-7.05816,22.87256,0
26.05000000000001,313.11,287.06,1.8,0.48,0.65,6,10,1,37.36455,-113.42628,0
41.64999999999998,323.65,282.0,2.81,0.38,0.36,6,5,1,46.47655,-48.476,0
41.06999999999999,325.19,284.12,2.35,0.52,0.5,6,8,1,55.65814,-106.80555,0
36.05000000000001,335.6,299.55,3.58,0.43,0.38,6,11,0,-4.25408,28.95733,0
41.43000000000001,346.0,304.57,15.69,0.45,0.47,6,11,0,-10.72504,26.83475,0
36.55000000000001,326.66,290.11,4.21,0.39,0.36,6,10,1,59.84031,-121.82545,0
48.329999999999984,352.74,304.41,2.89,0.33,0.55,6,11,0,-9.52745,17.83877,0
